Airline,Source,Destination,Total_Stops,Additional_Info,Price,Journey_Day,Journey_Month,Is_Weekend,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Duration_Total_Mins
IndiGo,Banglore,Delhi,0,No info,42.87,24,3,1,22,20,1,10,170
Air India,Kolkata,Banglore,2,No info,84.28,1,5,0,5,50,13,15,445
Jet Airways,Delhi,Cochin,2,No info,152.7,9,6,1,9,25,4,25,1140
IndiGo,Kolkata,Banglore,1,No info,68.4,12,5,1,18,5,23,30,325
IndiGo,Banglore,Delhi,1,No info,146.32,1,3,0,16,50,21,35,285
SpiceJet,Kolkata,Banglore,0,No info,42.6,24,6,0,9,0,11,25,145
Jet Airways,Banglore,Delhi,1,In-flight meal not included,121.96,12,3,0,18,55,10,25,930
Jet Airways,Banglore,Delhi,1,No info,244.97,1,3,0,8,0,5,5,1265
Jet Airways,Banglore,Delhi,1,In-flight meal not included,121.96,12,3,0,8,55,10,25,1530
Multiple carriers,Delhi,Cochin,1,No info,94.88,27,5,0,11,25,19,15,470
Air India,Delhi,Cochin,1,No info,97.98,1,6,1,9,45,23,0,795
IndiGo,Kolkata,Banglore,0,No info,45.91,18,4,0,20,20,22,55,155
Air India,Chennai,Kolkata,0,No info,51.34,24,6,0,11,40,13,55,135
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,106.29,9,5,0,21,10,9,20,730
IndiGo,Kolkata,Banglore,0,No info,52.84,24,4,0,17,15,19,50,155
Air India,Delhi,Cochin,2,No info,154.12,3,3,1,16,40,19,15,1595
SpiceJet,Delhi,Cochin,1,No info,64.13,15,4,0,8,45,13,15,270
Jet Airways,Delhi,Cochin,1,In-flight meal not included,112.88,12,6,0,14,0,12,35,1355
Air India,Delhi,Cochin,2,No info,147.19,12,6,0,20,15,19,15,1380
Jet Airways,Delhi,Cochin,1,In-flight meal not included,141.88,27,5,0,16,0,12,35,1235
GoAir,Delhi,Cochin,1,No info,214.44,6,3,0,14,10,19,20,310
Air India,Banglore,Delhi,1,No info,76.5,21,3,0,22,0,13,20,920
IndiGo,Banglore,Delhi,0,No info,43.37,3,4,0,4,0,6,50,170
IndiGo,Banglore,Delhi,0,No info,53.05,1,5,0,18,55,21,50,175
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,85.33,6,5,0,18,55,8,15,800
Jet Airways,Delhi,Cochin,2,No info,146.21,9,6,1,21,25,12,35,910
IndiGo,Delhi,Cochin,1,No info,90.62,1,6,1,21,50,3,35,345
GoAir,Delhi,Cochin,1,No info,84.5,15,5,0,7,0,12,55,355
Vistara,Banglore,Delhi,0,No info,51.35,18,6,0,9,45,12,35,170
Vistara,Chennai,Kolkata,0,No info,40.56,15,6,1,7,5,9,20,135
Vistara,Chennai,Kolkata,0,No info,40.56,18,6,0,7,5,9,20,135
Air India,Kolkata,Banglore,2,No info,145.5,1,5,0,9,50,23,15,805
IndiGo,Banglore,Delhi,0,No info,48.65,6,4,1,4,0,6,50,170
Jet Airways,Delhi,Cochin,2,In-flight meal not included,120.11,15,6,1,14,35,12,35,1320
Jet Airways,Delhi,Cochin,1,In-flight meal not included,136.1,18,5,1,7,5,12,35,330
IndiGo,Delhi,Cochin,1,No info,64.83,27,6,0,10,35,21,0,625
SpiceJet,Kolkata,Banglore,1,No info,51.14,21,5,0,15,5,20,20,315
Air India,Kolkata,Banglore,0,No info,68.69,18,5,1,14,15,16,45,150
Jet Airways,Banglore,Delhi,1,No info,211.48,6,3,0,7,0,13,15,375
Jet Airways,Delhi,Cochin,1,No info,164.16,3,6,0,7,5,19,0,715
Multiple carriers,Delhi,Cochin,1,No info,106.11,21,5,0,7,5,18,10,665
Air India,Banglore,Delhi,1,No info,95.85,15,3,0,6,45,15,15,510
Jet Airways,Delhi,Cochin,1,In-flight meal not included,136.1,18,5,1,20,55,19,0,1325
Air Asia,Banglore,Delhi,0,No info,37.21,6,5,0,11,10,13,55,165
Multiple carriers,Delhi,Cochin,1,No info,143.68,21,3,0,9,0,21,0,720
SpiceJet,Banglore,Delhi,0,No check-in baggage included,38.8,24,3,1,5,45,8,35,170
IndiGo,Banglore,Delhi,0,No info,43.37,27,5,0,4,0,6,50,170
Air India,Chennai,Kolkata,0,No info,51.34,3,5,0,11,40,13,55,135
Air India,Kolkata,Banglore,1,No info,67.29,15,5,0,19,0,11,5,965
Jet Airways,Delhi,Cochin,2,In-flight meal not included,122.65,27,6,0,23,5,19,0,1195
Jet Airways,Delhi,Cochin,0,In-flight meal not included,79.22,9,3,1,11,0,14,15,195
Jet Airways,Kolkata,Banglore,1,No info,133.33,1,5,0,9,35,10,55,1520
IndiGo,Banglore,Delhi,0,No info,48.15,24,3,1,22,20,1,10,170
IndiGo,Banglore,Delhi,0,No info,43.37,18,6,0,21,15,0,15,180
Air Asia,Banglore,Delhi,0,No info,49.31,3,4,0,23,55,2,45,170
Jet Airways,Kolkata,Banglore,1,No info,156.54,24,3,1,19,45,12,0,975
Air India,Banglore,Delhi,2,No info,190.8,1,3,0,8,50,23,55,905
Vistara,Chennai,Kolkata,0,No info,81.55,6,3,0,7,5,9,20,135
Multiple carriers,Delhi,Cochin,1,No info,88.8,6,5,0,19,0,1,30,390
Vistara,Mumbai,Hyderabad,1,No info,136.34,6,3,0,15,40,16,45,1505
Air India,Kolkata,Banglore,1,No info,92.03,6,6,0,9,25,21,50,745
Air India,Delhi,Cochin,1,No info,56.29,3,4,0,6,5,9,25,1640
Multiple carriers,Delhi,Cochin,1,No info,137.76,3,6,0,8,45,19,0,615
IndiGo,Delhi,Cochin,1,No info,79.1,15,5,0,15,0,1,30,630
Vistara,Chennai,Kolkata,0,No info,40.56,24,5,0,7,5,9,20,135
IndiGo,Delhi,Cochin,1,No info,64.83,24,6,0,10,35,21,0,625
Vistara,Banglore,Delhi,0,No info,59.43,24,4,0,9,45,12,35,170
Air India,Mumbai,Hyderabad,0,No info,39.88,6,5,0,13,55,15,25,90
Air India,Delhi,Cochin,2,No info,119.47,21,5,0,5,55,19,15,800
IndiGo,Chennai,Kolkata,0,No info,69.27,12,3,0,13,20,15,35,135
Jet Airways,Mumbai,Hyderabad,0,No info,62.46,1,6,1,7,5,8,30,85
Jet Airways,Banglore,Delhi,1,In-flight meal not included,100.47,9,3,1,5,45,8,15,1590
Multiple carriers,Delhi,Cochin,1,In-flight meal not included,118.7,24,6,0,11,40,19,0,440
Jet Airways,Delhi,Cochin,2,No info,141.01,24,6,0,23,5,12,35,810
IndiGo,Delhi,Cochin,1,No info,75.82,21,3,0,5,5,10,5,300
Vistara,Banglore,Delhi,0,No info,79.64,9,3,1,9,50,12,35,165
GoAir,Banglore,Delhi,0,No info,42.88,3,4,0,11,40,14,30,170
IndiGo,Mumbai,Hyderabad,0,No info,44.54,3,4,0,6,25,7,55,90
Jet Airways,Delhi,Cochin,1,In-flight meal not included,112.88,15,6,1,17,30,12,35,1145
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,36.65,21,3,0,8,20,10,35,135
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,9,6,1,21,10,12,0,890
Jet Airways,Banglore,Delhi,0,No info,79.52,24,3,1,19,55,22,35,160
Jet Airways,Kolkata,Banglore,1,No info,153.35,6,5,0,6,30,4,40,1330
IndiGo,Delhi,Cochin,1,No info,64.83,27,6,0,11,25,21,0,575
Multiple carriers,Delhi,Cochin,1,No info,112.17,18,5,1,9,0,19,0,600
Jet Airways,Banglore,Delhi,1,In-flight meal not included,150.83,6,3,0,14,5,11,25,1280
IndiGo,Delhi,Cochin,1,No info,62.0,24,6,0,2,0,7,25,325
Jet Airways,Delhi,Cochin,2,No info,143.15,6,6,0,9,40,4,25,1125
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,77.7,1,4,0,8,25,20,45,740
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,117.73,24,5,0,20,25,14,25,1080
Multiple carriers,Delhi,Cochin,1,No info,106.11,27,5,0,13,15,22,30,555
Multiple carriers,Delhi,Cochin,1,No info,187.63,6,3,0,2,15,13,20,665
Jet Airways,Banglore,Delhi,1,No info,151.99,12,3,0,16,55,10,25,1050
Air India,Delhi,Cochin,2,No info,151.23,6,3,0,5,55,19,15,800
Air India,Kolkata,Banglore,0,No info,53.68,21,4,1,20,45,23,20,155
IndiGo,Chennai,Kolkata,0,No info,38.94,21,6,0,5,15,7,40,145
SpiceJet,Banglore,Delhi,0,No check-in baggage included,35.83,15,5,0,5,55,8,35,160
Jet Airways,Banglore,Delhi,0,In-flight meal not included,71.26,3,6,0,19,50,22,50,180
Jet Airways,Mumbai,Hyderabad,0,No info,88.44,18,6,0,7,5,8,30,85
Jet Airways,Delhi,Cochin,2,No info,157.3,12,6,0,20,0,12,35,995
Jet Airways,Kolkata,Banglore,1,No info,162.59,15,5,0,8,25,20,45,740
Jet Airways,Kolkata,Banglore,1,No info,164.33,9,6,1,20,0,8,15,735
Jet Airways,Delhi,Cochin,1,In-flight meal not included,112.88,24,6,0,20,55,4,25,450
Air India,Kolkata,Banglore,1,No info,71.81,12,5,1,14,35,14,35,1440
Air India,Banglore,Delhi,0,No info,67.33,1,5,0,6,10,8,55,165
Jet Airways,Delhi,Cochin,2,In-flight meal not included,143.32,18,5,1,19,30,4,25,535
Multiple carriers,Delhi,Cochin,1,No info,125.63,27,3,0,11,40,18,50,430
Multiple carriers,Delhi,Cochin,1,No info,83.31,27,3,0,4,45,19,15,870
Air India,Delhi,Cochin,2,No info,127.56,9,5,0,12,55,19,15,1820
Jet Airways,Delhi,Cochin,2,No info,166.42,24,5,0,23,5,19,0,1195
Jet Airways,Banglore,Delhi,1,No info,149.1,18,3,0,14,5,5,5,900
IndiGo,Banglore,Delhi,0,No info,63.58,12,4,0,18,55,21,50,175
Vistara,Kolkata,Banglore,1,No info,103.37,12,5,1,20,20,9,5,765
Jet Airways,Delhi,Cochin,1,No info,187.26,6,3,0,18,15,4,25,610
